Altium Designer Pick and Place Locations
C:\Users\Alucard\Documents\GitHub\DIY-WiFi-Filament-Dryer\Hardware\Altium_Project\Project Files\Project Outputs for DryBox\Pick Place\Pick Place for DryBox.csv

========================================================================================================================
File Design Information:

Date:       03/04/23
Time:       18:36
Revision:   63b1b7ea5df860902eac9dc7a5570333b7d976ed
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"P0","Header 4","TopLayer","Header_4x1","715.000mil","-355.001mil","0","Header, 4-Pin"
"C6","Cap","TopLayer","0603_-_CAP_HS","625.000mil","14.999mil","270","Capacitor"
"R10","Res","TopLayer","0603_-_HS","-825.000mil","334.999mil","90","Resistor"
"R3","Res","TopLayer","0603_-_HS","-765.000mil","334.999mil","90","Resistor"
"R2","Res","TopLayer","0603_-_HS","-705.000mil","334.999mil","90","Resistor"
"D1","RGB LED","TopLayer","RGB_LED_-_0606_(1616_Metric)","-750.000mil","480.000mil","180","Red, Green, Blue (RGB) - LED Indication - Discrete 1.9V Red, 2.8V Green, 2.8V Blue 0606 (1616 Metric)"
"U3","MIC5365-1.8YD5-TR","TopLayer","SOT-23-5_-_duplicate","298.740mil","-87.402mil","0","High-Performance Single 1.8V@150mA LDO"
"C5","Cap","TopLayer","0603_-_CAP","295.000mil","29.999mil","0","Capacitor"
"C4","Cap","TopLayer","0603_-_CAP","295.000mil","89.999mil","0","Capacitor"
"C3","25V","TopLayer","Electrolytic_Cap_2.54mm","825.000mil","-725.001mil","180","Polarized Capacitor (Axial)"
"R9","Res","TopLayer","0603_-_HS","565.000mil","149.999mil","90","Resistor"
"P4","Header 4","TopLayer","Header_4x1","825.000mil","559.999mil","270","Header, 4-Pin"
"C22","Cap","TopLayer","0603_-_CAP_HS","365.000mil","659.999mil","180","Capacitor"
"C21","Cap","TopLayer","0603_-_CAP_HS","640.000mil","-730.001mil","0","Capacitor"
"C20","Cap","TopLayer","0603_-_CAP_HS","640.000mil","-790.001mil","0","Capacitor"
"R23","Res","TopLayer","0603_-_HS","5.000mil","-632.873mil","180","Resistor"
"R19","Res","TopLayer","0603_-_HS","5.000mil","-510.001mil","0","Resistor"
"R17","Res","TopLayer","0603_-_HS","5.000mil","-570.001mil","180","Resistor"
"R13","Res","TopLayer","0603_-_HS","330.000mil","-495.001mil","180","Resistor"
"R5","Res","TopLayer","0603_-_HS","330.000mil","-555.001mil","180","Resistor"
"R12","Res","TopLayer","0603_-_HS","330.000mil","-800.001mil","0","Resistor"
"R8","Res","TopLayer","0603_-_HS","565.000mil","14.999mil","90","Resistor"
"Q1","DMN62D0U-13","TopLayer","SOT90P240X100-3N","340.630mil","-675.434mil","180","MOSFET N-CH 60V 0.38A"
"D2","Diode Schotky","TopLayer","SOD123F","525.000mil","-730.000mil","270",""
"C15","Cap","TopLayer","0603_-_CAP_HS","-755.000mil","714.999mil","180","Capacitor"
"C14","Cap","TopLayer","0603_-_CAP_HS","-755.000mil","774.999mil","180","Capacitor"
"U2","LM2576-xx","TopLayer","TO263-5","-535.039mil","-200.493mil","90","Switching mode regulator [ 3v3, 5v, 12v and ADJ ]"
"R20","Res","TopLayer","0603_-_HS","-30.000mil","-50.001mil","0","Resistor"
"R4","Res","TopLayer","0603_-_HS","-165.000mil","-50.001mil","0","Resistor"
"L1","Inductor","TopLayer","IND_TH_SMD","-90.000mil","-240.001mil","90","Inductor"
"D4","Diode Schotky","TopLayer","SOD123F","100.000mil","-265.000mil","270",""
"C13","Cap","TopLayer","0603_-_CAP","295.000mil","-210.001mil","0","Capacitor"
"C12","Cap","TopLayer","0603_-_CAP","295.000mil","-270.001mil","0","Capacitor"
"C11","Cap","TopLayer","0603_-_CAP","85.000mil","-80.000mil","90","Capacitor"
"C10","25V","TopLayer","Electrolytic_Cap_2.54mm","-420.000mil","-700.001mil","180","Polarized Capacitor (Axial)"
"C9","Cap","TopLayer","0603_-_CAP","145.000mil","-81.103mil","90","Capacitor"
"C8","Cap","TopLayer","0603_-_CAP","-665.000mil","-525.001mil","0","Capacitor"
"C7","Cap","TopLayer","0603_-_CAP","-665.000mil","-465.001mil","0","Capacitor"
"SW1","SWITCH TACTILE SPST-NO 0.05A 12V","TopLayer","5MM_5MM_SWITCH_SMT","760.001mil","-155.000mil","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"R7","Res","TopLayer","0603_-_HS","295.000mil","174.999mil","0","Resistor"
"R6","Res","TopLayer","0603_-_HS","-755.000mil","624.999mil","180","Resistor"
"C2","Cap","TopLayer","0603_-_CAP_HS","-755.000mil","564.999mil","180","Capacitor"
"U1","ESP32 Module","TopLayer","ESP32-WROOM-32","-225.866mil","470.472mil","0",""
"Q3","DMN62D0U-13","TopLayer","SOT90P240X100-3N","20.000mil","-740.000mil","180","MOSFET N-CH 60V 0.38A"
